timestamp,avg_high_price,avg_low_price,high_price_volume,low_price_volume
2024-07-26 21:10:00,227.0,225,184594,107221
2024-07-26 21:15:00,226.0,224,111345,74105
2024-07-26 21:20:00,225.0,222,183934,151707
2024-07-26 21:25:00,224.0,221,218067,65949
2024-07-26 21:30:00,227.0,224,251994,37054
2024-07-26 21:35:00,228.0,225,243107,84787
2024-07-26 21:40:00,225.0,225,220459,72767
2024-07-26 21:45:00,224.0,223,201092,73299
2024-07-26 21:50:00,227.0,223,235307,127411
2024-07-26 21:55:00,228.0,224,246689,85199
2024-07-26 22:00:00,224.0,223,152669,51018
2024-07-26 22:05:00,225.0,222,215089,39594
2024-07-26 22:10:00,227.0,223,55389,37863
2024-07-26 22:15:00,227.0,223,151841,64703
2024-07-26 22:20:00,227.0,224,241961,54206
2024-07-26 22:25:00,226.0,223,152967,36058
2024-07-26 22:30:00,227.0,224,153077,47800
2024-07-26 22:35:00,225.0,223,242555,103756
2024-07-26 22:40:00,226.0,224,49261,79589
2024-07-26 22:45:00,226.0,222,98471,116817
2024-07-26 22:50:00,224.0,222,146325,47799
2024-07-26 22:55:00,226.0,224,81241,48826
2024-07-26 23:00:00,227.0,223,87631,68756
2024-07-26 23:05:00,226.0,223,87874,41632
2024-07-26 23:10:00,227.0,224,230003,87328
2024-07-26 23:15:00,226.0,224,279486,17629
2024-07-26 23:20:00,226.0,223,235364,93979
2024-07-26 23:25:00,224.0,223,196313,94144
2024-07-26 23:30:00,226.0,224,131980,84741
2024-07-26 23:35:00,227.0,224,126829,34574
2024-07-26 23:40:00,227.0,224,171607,35951
2024-07-26 23:45:00,227.0,224,97019,109712
2024-07-26 23:50:00,227.0,223,145410,61645
2024-07-26 23:55:00,224.0,223,108794,83390
2024-07-27 00:00:00,227.0,224,22399,109319
2024-07-27 00:05:00,220.0,221,372759,1559633
2024-07-27 00:10:00,225.0,223,114147,77663
2024-07-27 00:15:00,227.0,224,73230,38962
2024-07-27 00:20:00,225.0,224,28077,75120
2024-07-27 00:25:00,228.0,222,106850,106625
2024-07-27 00:30:00,227.0,224,41743,74834
2024-07-27 00:35:00,220.0,223,486154,319889
2024-07-27 00:40:00,220.0,219,406177,55376
2024-07-27 00:45:00,222.0,212,281529,3087018
2024-07-27 00:50:00,224.0,222,355658,85185
2024-07-27 00:55:00,226.0,223,152573,41427
2024-07-27 01:00:00,227.0,223,100433,90041
2024-07-27 01:05:00,229.0,225,97656,160750
2024-07-27 01:10:00,228.0,225,19884,171797
2024-07-27 01:15:00,224.0,225,20324,81209
2024-07-27 01:20:00,,226,0,80760
2024-07-27 01:25:00,224.0,225,259724,50319
2024-07-27 01:30:00,226.0,223,133723,61757
2024-07-27 01:35:00,224.0,223,185628,41572
2024-07-27 01:40:00,227.0,223,91280,116987
2024-07-27 01:45:00,228.0,224,42011,33190
2024-07-27 01:50:00,228.0,225,198584,79699
2024-07-27 01:55:00,228.0,225,50687,161984
2024-07-27 02:00:00,228.0,225,91325,70999
2024-07-27 02:05:00,229.0,226,65055,95852
2024-07-27 02:10:00,230.0,225,42463,147636
2024-07-27 02:15:00,229.0,224,89162,95802
2024-07-27 02:20:00,228.0,225,129336,141296
2024-07-27 02:25:00,229.0,225,118213,145713
2024-07-27 02:30:00,228.0,225,62444,27931
2024-07-27 02:35:00,225.0,224,40564,278611
2024-07-27 02:40:00,227.0,224,70803,148208
2024-07-27 02:45:00,227.0,224,160705,23235
2024-07-27 02:50:00,227.0,223,143756,27972
2024-07-27 02:55:00,228.0,225,59036,72681
2024-07-27 03:00:00,227.0,221,138291,623956
